Country Name,Code,gdp_capita
Aruba,ABW,30253.28
Africa Eastern and Southern,AFE,1359.61822418526
Afghanistan,AFG,516.747870807558
Africa Western and Central,AFW,1710.07336335627
Angola,AGO,1776.16686789531
Albania,ALB,5246.29230634793
Andorra,AND,40897.33
Arab World,ARB,5612.68656952782
United Arab Emirates,ARE,36284.5552429552
Argentina,ARG,8579.01777315683
Armenia,ARM,4266.01807420946
American Samoa,ASM,12844.9009909959
Antigua and Barbuda,ATG,13992.7444804497
Australia,AUS,51692.8427477695
Austria,AUT,48586.8013213238
Azerbaijan,AZE,4221.40747847848
Burundi,BDI,238.990725856496
Belgium,BEL,45159.3482229717
Benin,BEN,1291.04097215441
Burkina Faso,BFA,857.932729650223
Bangladesh,BGD,1961.6137487886
Bulgaria,BGR,10079.2033812203
Bahrain,BHR,20409.9528047731
"Bahamas, The",BHS,25194.0251444381
Bosnia and Herz.,BIH,6079.73828544838
Belarus,BLR,6424.15217642722
Belize,BLZ,4115.17700795622
Bermuda,BMU,107079.479836627
Bolivia,BOL,3133.09980321504
Brazil,BRA,6796.84454227877
Barbados,BRB,15373.8547035017
Brunei Darussalam,BRN,27442.95382794
Bhutan,BTN,3000.77932702976
Botswana,BWA,6404.89993159074
Central African Rep.,CAF,492.79587119399
Canada,CAN,43294.6481631917
Central Europe and the Baltics,CEB,16168.1966521921
Switzerland,CHE,87097.0364503764
Channel Islands,CHI,
Chile,CHL,13231.7042069381
China,CHN,10434.7751874839
Côte d'Ivoire,CIV,2325.72370502247
Cameroon,CMR,1537.13021832773
Dem. Rep. Congo,COD,543.950392515803
Congo,COG,1846.13129708695
Colombia,COL,5334.55604233917
Comoros,COM,1420.66174747221
Cabo Verde,CPV,3064.27238842819
Costa Rica,CRI,12140.8541545754
Caribbean small states,CSS,8873.52192883729
Cuba,CUB,9477.85287326771
Curacao,CUW,16745.7243140176
Cayman Islands,CYM,85082.5268555478
Cyprus,CYP,27527.8453055825
Czechia,CZE,22931.2745975622
Germany,DEU,46208.4294717472
Djibouti,DJI,3425.48417585803
Dominica,DMA,7003.85902147233
Denmark,DNK,61063.3164304238
Dominican Rep.,DOM,7268.1969096591
Algeria,DZA,3306.85820838104
East Asia & Pacific (excluding high income),EAP,8254.67087102428
Early-demographic dividend,EAR,3201.65253167346
East Asia & Pacific,EAS,11477.7925922681
Europe & Central Asia (excluding high income),ECA,7668.52434410423
Europe & Central Asia,ECS,23955.3051582784
Ecuador,ECU,5600.38961495341
Egypt,EGY,3569.20684121108
Euro area,EMU,37967.8018660437
Eritrea,ERI,642.51
Spain,ESP,27063.1939180299
Estonia,EST,23027.0269956294
Ethiopia,ETH,936.340461064749
European Union,EUU,34148.9199001187
Fragile and conflict affected situations,FCS,1622.21697567321
