symbol,date,price
AAPL,10/5/2022,146.40
AAPL,10/4/2022,146.10
AAPL,10/3/2022,142.45
AAPL,09/30/2022,138.20
AAPL,09/29/2022,142.48
AAPL,09/28/2022,149.84
AAPL,09/27/2022,151.76
AAPL,09/26/2022,150.77
AAPL,09/23/2022,150.43
AAPL,09/22/2022,152.74
AAPL,09/21/2022,153.72
AAPL,09/20/2022,156.90
AAPL,09/19/2022,154.48
AAPL,09/16/2022,150.70
AAPL,09/15/2022,152.37
AAPL,09/14/2022,155.31
AAPL,09/13/2022,153.84
AAPL,9/12/2022,163.43
AAPL,9/9/2022,157.37
AAPL,9/8/2022,154.46
AAPL,9/7/2022,155.96
AAPL,9/6/2022,154.53
AAPL,9/2/2022,155.81
AAPL,9/1/2022,157.96
AAPL,08/31/2022,157.22
AAPL,08/30/2022,158.91
AAPL,08/29/2022,161.38
AAPL,08/26/2022,163.62
AAPL,08/25/2022,170.03
AAPL,08/24/2022,167.53
AAPL,08/23/2022,167.23
AAPL,08/22/2022,167.57
AAPL,08/19/2022,171.52
AAPL,08/18/2022,174.15
AAPL,08/17/2022,174.55
AAPL,08/16/2022,173.03
AAPL,08/15/2022,173.19
AAPL,8/12/2022,172.10
AAPL,8/11/2022,168.49
AAPL,8/10/2022,169.24
AAPL,8/9/2022,164.92
AAPL,8/8/2022,164.87
AAPL,8/5/2022,165.35
AAPL,8/4/2022,165.81
AAPL,8/3/2022,166.13
AAPL,8/2/2022,160.01
AAPL,8/1/2022,161.51
AAPL,07/29/2022,162.51
AAPL,07/28/2022,157.35
AAPL,07/27/2022,156.79
AAPL,07/26/2022,151.60
AAPL,07/25/2022,152.95
AAPL,07/22/2022,154.09
AAPL,07/21/2022,155.35
AAPL,07/20/2022,153.04
AAPL,07/19/2022,151.00
AAPL,07/18/2022,147.07
AAPL,07/15/2022,150.17
AAPL,07/14/2022,148.47
AAPL,07/13/2022,145.49
AAPL,7/12/2022,145.86
AAPL,7/11/2022,144.87
